Company,x,Member of the S&P500,Member of the Russell 1000 Index,source,Scraping code set up ?,Ticker(s),PR Agency,Example 2020 company PR agency press release URL,Domain,Company global/main press - news release site URL,Subscribed to press releases esgroadmap@gmail.com ?,Subscribed to press releases jameskijani@gmail.com ?,Plain text press release subscription possible? (yes/no),Company annual reports page URL,Company annual / financial report 2020 URL of pdf document (including 10-k),Company sustainability / ESG reports page URL,Company Sustainability / ESG report 2020 URL of pdf document,Country,NAICS #1,2017 NAICS TITLE,NAICS #2,2017 NAICS TITLE.1,NAICS #3,2017 NAICS TITLE.2,NAICS #4,2017 NAICS TITLE.3,NAICS #5,2017 NAICS TITLE.4,WORKED BY:,COMMENTS / NOTES,Carbon sentence available ?
ArcelorMittal,,no,no,Berkshire Hathaway,,MT,Globenewswire,https://www.globenewswire.com/news-release/2020/12/15/2145782/0/en/ArcelorMittal-Enters-into-Separate-Privately-Negotiated-Agreements-with-Certain-Holders-of-its-5-50-Mandatorily-Convertible-Subordinated-Notes-due-2023.html,http://corporate.arcelormittal.com/,https://corporate.arcelormittal.com/media/press-releases,YES,YES,NO,https://corporate.arcelormittal.com/corporate-library/reporting-hub?type=Annual,https://corporate-media.arcelormittal.com/media/avkp1xck/annual-report-2020.pdf,https://corporate.arcelormittal.com/sustainability,not available,Luxembourg,331110,Iron and Steel Mills and Ferroalloy Manufacturing ,112111,Beef Cattle Ranching and Farming ,311611,Animal (except Poultry) Slaughtering ,311612,Meat Processed from Carcasses ,325611,Soap and Other Detergent Manufacturing ,,,0
Arch Cap Group Ltd,,no,yes,,,ACGL,Businesswire,https://www.businesswire.com/news/home/20210702005179/en/Arch-Capital-Group-Ltd.-Closes-Acquisition-of-Watford-Holdings-Ltd.,https://www.archgroup.com/,https://ir.archgroup.com/news-events-presentations/press-releases/default.aspx,YES,YES,NO,https://ir.archgroup.com/financial-reports/annual-reports/default.aspx,https://s25.q4cdn.com/260250619/files/doc_financials/2020/ar/00365-2020-Annual-Report-FINAL.pdf,https://www.archgroup.com/sustainability-governance/documents/,https://www.archgroup.com/wp-content/uploads/Arch-2020-ESG-Report-04092021-00541.pdf,United States,524130,Reinsurance Carriers ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Archer-Daniels-Midland Company,,yes,yes,,,ADM,Businesswire,https://www.businesswire.com/news/home/20210602005626/en/,http://www.adm.com/,https://www.adm.com/news/news-releases,YES,YES,NO,https://investors.adm.com/financials/annual-reports/default.aspx,https://s1.q4cdn.com/365366812/files/doc_financials/2020/ar/2021-Letter-to-Stockholders-and-Proxy.pdf,https://investors.adm.com/sustainability/default.aspx,https://assets.adm.com/Sustainability/3860041_20_Archer-Daniels-Midland_ESG-Report_WR.pdf,United States,311224,Soybean and Other Oilseed Processing ,311225,Fats and Oils Refining and Blending ,523210,Securities and Commodity Exchanges,*,*,*,*,LILYD - S&P,,0
Ardagh Group Sa,,no,yes,,,ARD,PRNewswire,https://www.prnewswire.com/news-releases/ardagh-group-announces-a-major-10-year-investment-in-stem-education-in-the-us-impacting-500-000-students-301311332.html,https://www.ardaghgroup.com/,https://www.ardaghgroup.com/news-centre?filter=investor-news,NO,NO,NO,https://www.ardaghgroup.com/corporate/investors#!investors,https://www.ardaghgroup.com/userfiles/files/investors/Ardagh-Group-SA-Annual-Report-2020-full.pdf,https://www.ardaghgroup.com/corporate/sustainability#!sustainability,https://www.ardaghgroup.com/userfiles/files/media-centre/5f6cc7bf1a059.pdf,United States,561910,Packaging and Labeling Services,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Ares Management Corp,,no,yes,,,ARES,Businesswire,https://www.businesswire.com/news/home/20210630005305/en/,https://www.aresmgmt.com/,http://www.ares-ir.com/news-events-presentations/press-releases/default.aspx,YES,YES,NO,https://www.ares-ir.com/sec-filings/default.aspx,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001176948/5c54c1d1-3874-40f5-9c45-d1687457cc9d.pdf,https://www.aresmgmt.com/about-ares-management-corporation/esg,https://www.aresmgmt.com/sites/default/files/2021-08/Ares_SustainabilityReport_081021.pdf,United States,523920,Portfolio Management ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Arista Networks Inc.,,yes,yes,,,ANET,Businesswire,https://www.businesswire.com/news/home/20210702005057/en/,https://www.arista.com/en/,https://investors.arista.com/Communications/Press-Releases-and-Events/default.aspx,YES,YES,NO,https://investors.arista.com/Financial-Information/default.aspx?section=annual-report,https://s21.q4cdn.com/861911615/files/doc_financials/2020/ar/2021-Notice-Proxy-Statement-and-2020-Annual-Report.pdf,https://www.arista.com/en/company/sustainability,https://www.arista.com/assets/data/pdf/Arista_CRR_2020_FINAL_PUBLISH_Report.pdf,United States,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing ,*,*,*,*,*,*,*,*,LILYD - S&P,,0
Armstrong World Inds Inc,,no,yes,,,AWI,Globenewswire,https://www.globenewswire.com/fr/news-release/2021/04/27/2217455/0/en/Armstrong-World-Industries-Reports-First-Quarter-2021-Results.html,https://www.armstrongceilings.com/,https://www.armstrongworldindustries.com/en-us/press-releases.html,YES,YES,NO,https://www.armstrongworldindustries.com/en-us/investors/annual-reports.html,https://armstrongceilings.gcs-web.com/static-files/baa42fcc-416e-4ca2-aa5d-98b3caf90d80,https://www.armstrongworldindustries.com/en-us/sustainability.html,not available,United States,335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing ",327993,Mineral Wool Manufacturing ,*,*,*,*,*,*,LILYD - Russell,,0
Arrow Electronics Inc,,no,yes,,,ARW,Businesswire,https://www.businesswire.com/news/home/20210602005337/en/,http://www.arrow.com/,https://investor.arrow.com/news/default.aspx,YES,YES,NO,https://investor.arrow.com/financials/financial-results/default.aspx,https://s22.q4cdn.com/708983889/files/doc_financials/2020/q4/Arrow-Electronics-10-K-2020.pdf,https://www.arrow.com/en/fiveyearsout/company-overview/reporting-and-governance,https://static4.arrow.com/-/media/five-years-out/csr/csr-report-pdf-v2/arrow-csr-2020-report-ebook-10-20-21.pdf,United States,423690,Other Electronic Parts and Equipment Merchant Wholesalers ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Arthur J. Gallagher & Co.,,yes,yes,,,AJG,PRNewswire,http://www.prnewswire.com/news-releases/arthur-j-gallagher--co-acquires-excess-underwriting-company-301313594.html,http://www.ajg.com/,https://investor.ajg.com/press-releases,YES,YES,NO,https://investor.ajg.com/financials/default.aspx#financial-year--annual,https://s28.q4cdn.com/872121257/files/doc_financials/2020/ar/AJG-2020-Annual-Report.PDF,https://investor.ajg.com/esg/default.aspx,https://s28.q4cdn.com/872121257/files/doc_downloads/sustainability_reports/gallagher-sustainability-report.pdf,United States,524210,Insurance Agencies and Brokerages ,*,*,*,*,*,*,*,*,LILYD - S&P,,0
Ashland Global Holdings,,no,yes,,,ASH,Globenewswire,https://www.globenewswire.com/news-release/2021/03/15/2192694/0/en/Ashland-to-increase-production-capacity-for-Natrosol-HEC-at-Nanjing-China-site.html,https://www.ashland.com/,https://investor.ashland.com/press-releases,YES,YES,NO,https://investor.ashland.com/annual-reports,https://investor.ashland.com/static-files/5ff618dd-3f13-48e8-a39f-b962eb2e592e,https://www.ashland.com/sustainability/sustainability-overview#,not available,United States,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Aspen Technology Inc,,no,yes,,,AZPN,Businesswire,https://www.businesswire.com/news/home/20210614005779/en/,https://www.aspentech.com/en,http://ir.aspentech.com/news-releases?field_nir_news_date_value%5Bmin%5D=2021,YES,YES,NO,http://ir.aspentech.com/annual-reports,http://ir.aspentech.com/static-files/522d46e4-3100-4c93-b11a-033487c7cd45,https://www.aspentech.com/en/insights/sustainability,https://www.aspentech.com/-/media/aspentech/home/about-aspentech/environmental-social-and-governance-report/aspentech-esg-report-2020.pdf?sc_lang=en&hash=E68A50639BA4579E79E300D45D2FB192,United States,541511,Custom Computer Programming Services ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Associated Banc Corp,,no,yes,,,ASB,PRNewswire,https://www.prnewswire.com/news-releases/associated-bank-announces-leadership-changes-301324603.html,https://www.associatedbank.com/,https://investor.associatedbank.com/news-events-presentations/press-releases/default.aspx,YES,YES,NO,https://investor.associatedbank.com/corporate-information/annual-reports/default.aspx,https://s25.q4cdn.com/751560512/files/doc_financials/2020/ar/P03038-Annual-Report-2020_FNL.pdf,not available,not available,United States,522110,Commercial Banking ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Assurant Inc.,,yes,yes,,,AIZ,,,http://www.assurant.com/,https://www.assurant.com/news-insight/news-and-insights,YES,YES,NO,https://ir.assurant.com/annual-reports/default.aspx,https://www.corporatereport.com/assurant/2020/ar/downloads/Assurant_2020_AR.pdf,https://socialresponsibility.assurant.com/our-story/corporate-responsibility/default.aspx,https://s22.q4cdn.com/805855654/files/doc_downloads/2021/03/AIZ-09329-2021-Assurant-Social-Responsibility-Report_031521_Final.pdf,United States,524298,All Other Insurance Related Activities ,524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers ",*,*,*,*,*,*,LILYD - S&P,,0
Assured Guaranty Ltd,,no,yes,,,AGO,Businesswire,https://www.businesswire.com/news/home/20210709005321/en/Assured-Guaranty-Municipal-Holdings-Inc.-Is-Redeeming-Certain-Outstanding-Debt,https://assuredguaranty.com/,https://info.assuredguaranty.com/press-room/all-press-releases/default.aspx,YES,YES,NO,https://assuredguaranty.com/investor-information/by-company/assured-guaranty-ltd,https://assuredguaranty.com/images/uploads/2020_Annual_Report.pdf,https://assuredguaranty.com/about-us/environmental-and-social-responsibility/social-responsibility,not available,United States,524126,Direct Property and Casualty Insurance Carriers ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
AT&T Inc,,yes,yes,Biogen,,T,Businesswire,http://www.businesswire.com/news/home/20201211005563/en/ATT-Declares-Quarterly-Dividend-on-Common-and-Preferred-Shares,https://www.att.com/,https://pressroom.warnermedia.com/us,YES,YES,NO,https://investors.att.com/financial-reports/annual-reports/2020,https://investors.att.com/~/media/Files/A/ATT-IR-V2/financial-reports/annual-reports/2020/complete-2020-annual-report.pdf,https://about.att.com/csr/reporting,https://about.att.com/ecms/dam/csr/2019/library/corporate-responsibility/2020-2021-summary.final.pdf,United States,517311,Wired Telecommunications Carriers ,523120,Securities Brokerage ,517311,Wired Telecommunications Carriers ,517312,Wireless Telecommunications Carriers (except Satellite),517919,All Other Telecommunications ,,,0
Athene Holding Ltd,,no,yes,,,ATH,PRNewswire,https://www.prnewswire.com/news-releases/athene-leads-minority-investment-in-australias-challenger-limited-301326451.html,https://www.athene.com/,https://www.athene.com/news,YES,YES,NO,https://ir.athene.com/financials/annual-reports/default.aspx,https://irathene.q4cdn.com/886888837/files/doc_financials/2020/ar/2020-Annual-Report-(2).pdf,https://www.athene.com/corporate-social-responsibility,https://athenecentral.widen.net/s/qzq5msbcqw/22830,United States,524114,Direct Health and Medical Insurance Carriers ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Atlassian Corp Plc,,no,yes,,,TEAM,Businesswire,https://www.businesswire.com/news/home/20210528005485/en/,https://www.atlassian.com/,https://investors.atlassian.com/financials-and-filings/news/default.aspx,YES,YES,NO,https://investors.atlassian.com/financials/annual-reports/default.aspx,https://s28.q4cdn.com/541786762/files/doc_financials/2020/ar/TEAM-2020_Annual_Report.pdf,https://investors.atlassian.com/Sustainability/default.aspx,https://s28.q4cdn.com/541786762/files/doc_downloads/sustainability/2020/Atlassian-Sustainability-Report-FY20.pdf,United States,511210,Software Publishers,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Atmos Energy Corporation,,yes,yes,,,ATO,Businesswire,https://www.businesswire.com/news/home/20210708005841/en/Atmos-Energy-Corporation-to-Host-Fiscal-2021-Third-Quarter-Earnings-Conference-Call-on-August-5-2021,http://www.atmosenergy.com/,https://www.atmosenergy.com/newsroom/atmos-energy-news-releases,NO,NO,NO,https://www.atmosenergy.com/company/publications-and-filings,https://www.atmosenergy.com/sites/default/files/2020_annual_report.pdf,https://www.atmosenergy.com/esg/reports,https://www.atmosenergy.com/sites/default/files/2020_corporate_responsibility_and_sustainability_report_-_final_12-3-20.pdf,United States,221210,Natural Gas Distribution ,*,*,*,*,*,*,*,*,LILYD - S&P,,0
Autodesk Inc.,,yes,yes,,,ADSK,PRNewswire,https://www.prnewswire.com/news-releases/autodesk-confirms-proposal-to-acquire-electronic-design-software-leader-altium-limited-301306499.html,https://www.autodesk.com/,https://adsknews.autodesk.com/categories/press-releases,YES,YES,NO,https://investors.autodesk.com/financials/annual-reports,https://investors.autodesk.com/static-files/e748ddf1-5031-4f0f-970c-2294e336a578,https://www.autodesk.com/sustainability/overview,not available,United States,511210,Software Publishers,541511,Custom Computer Programming Services ,518210,"Data Processing, Hosting, and Related Services",*,*,*,*,LILYD - S&P,,0
Automatic Data Processing Inc.,,yes,yes,,,ADP,PRNewswire,https://www.prnewswire.com/news-releases/adp-to-announce-fourth-quarter-fiscal-2021-financial-results-on-july-28-2021-301313097.html,https://www.adp.com/,https://investors.adp.com/press-releases/default.aspx,YES,YES,NO,https://investors.adp.com/financial-information/annual-reports-and-proxies/default.aspx,https://s23.q4cdn.com/483669984/files/doc_financials/2020/ar/2020-Annual-Report-on-Form-10-K.pdf,https://sustainability.adp.com/,https://sustainability.adp.com/pdf/2020-Social-Responsibility-Report.pdf,United States,541214,Payroll Services ,518210,"Data Processing, Hosting, and Related Services",551112,Offices of Other Holding Companies ,*,*,*,*,LILYD - S&P,,0
Autonation Inc,,no,yes,,,AN,PRNewswire,https://www.prnewswire.com/news-releases/autonation-announces-second-quarter-2021-earnings-conference-call-and-audio-webcast-scheduled-for-monday-july-19-2021-301328393.html,https://www.autonation.com/,https://investors.autonation.com/news-and-events/press-releases/default.aspx,YES,YES,NO,https://investors.autonation.com/financials/annual-reports/default.aspx,"https://s22.q4cdn.com/689426802/files/doc_financials/2020/ar/P50646_AUTONATION,-INC._10KW_2020-Web-Ready.pdf",https://investors.autonation.com/governance/corporate-social-responsibility/default.aspx,not available,United States,441110,New Car Dealers ,441120,Used Car Dealers ,*,*,*,*,*,*,LILYD - Russell,,0
AutoZone Inc.,,yes,yes,,,AZO,Globenewswire,"https://www.globenewswire.com/news-release/2021/06/17/2249338/3935/en/AutoZone-Announces-Organization-Changes.html#:~:text=AutoZone%2C%20Inc.,-Memphis%2C%20Tennessee%2C%20UNITED&text=MEMPHIS%2C%20Tenn.%2C%20June%2017,announced%20changes%20to%20the%20organization.&text=%E2%80%9CThese%20moves%20strategically%20position%20AutoZone,focused%20on%20our%20growth%20opportunities.",https://www.autozone.com/,https://investors.autozone.com/news-releases,YES,YES,NO,https://investors.autozone.com/current-annual-report,https://investors.autozone.com/static-files/989bd1fb-487e-4ab5-974e-1cf62f6e6944,https://www.autozone.com/company/corporate-social-responsibility/,not available,United States,441310,Automotive Parts and Accessories Stores ,*,*,*,*,*,*,*,*,LILYD - S&P,,0
Avalara Inc,,no,yes,,,AVLR,Businesswire,https://www.businesswire.com/news/home/20210629005131/en/,https://www.avalara.com/us/en/index.html,https://investor.avalara.com/press-releases/press-releases/default.aspx,YES,YES,NO,https://investor.avalara.com/financials-and-filings/sec-filings/default.aspx,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001348036/c98fb802-4960-4212-884d-9905c3d26225.pdf,https://investor.avalara.com/sustainability/default.aspx,not available,United States,541219,Other Accounting Services ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
AvalonBay Communities Inc.,,yes,yes,,,AVB,Businesswire,https://www.businesswire.com/news/home/20210604005597/en/,https://www.avaloncommunities.com/,https://investors.avalonbay.com/news-events-and-presentations/,YES,YES,NO,https://investors.avalonbay.com/sec-filings/annual-reports/default.aspx,https://s1.q4cdn.com/777653952/files/doc_financials/2020/ar/2020-annual.pdf,https://www.avaloncommunities.com/about-us/corporate-responsibility/cr-reports,https://www.avaloncommunities.com/about-us/corporate-responsibility/-/media/4B25C8B90BD543559288F57CC06A8025.ashx,United States,531110,Lessors of Residential Buildings and Dwellings ,*,*,*,*,*,*,*,*,LILYD - S&P,,0
Avangrid Inc,,no,yes,,,AGR,Businesswire,https://www.businesswire.com/news/home/20210708005220/en/,https://www.avangrid.com/,https://www.avangrid.com/wps/portal/avangrid/Investors/investors/earningreleases,NO,NO,NO,site can't be reached,,,,United States,221122,Electric Power Distribution ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Avantor Inc,,no,yes,,,AVTR,PRNewswire,https://www.prnewswire.com/news-releases/avantor-to-report-second-quarter-2021-earnings-and-host-earnings-call-on-wednesday-july-28-2021-301326005.html,https://www.avantorsciences.com/site/,https://ir.avantorsciences.com/investors/news-and-events/news/default.aspx,YES,YES,NO,https://ir.avantorsciences.com/investors/financials/annual-reports/default.aspx,https://s25.q4cdn.com/788371760/files/doc_financials/2020/ar/Avantor-Annual-Report-2020-PDF-with-Bookmarks_to-Q4.pdf,https://www.avantorsciences.com/pages/en/sustainability-reports,https://www.avantorsciences.com/m-avantorsciences.com/en_US/files/2020-Avantor-CSR-Benchmark-report.pdf,United States,325180,Other Basic Inorganic Chemical Manufacturing ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Avery Dennison Corporation,,yes,yes,,,AVY,Businesswire,https://www.businesswire.com/news/home/20210428005134/en/,http://www.averydennison.com/,https://www.investors.averydennison.com/news-releases,YES,YES,NO,https://www.investors.averydennison.com/financial-information/annual-reports,https://www.investors.averydennison.com/static-files/603e2f73-8314-46cf-864d-f67c7cd58998,https://esg.averydennison.com/en/home/reports-and-downloads.html,https://esg.averydennison.com/content/dam/avery_dennison/corporate/global/english/documents/sustainability/sustainability-reports/2021_AveryDennison_ReportPDF_v4.pdf,United States,325520,Adhesive Manufacturing,424690,Other Chemical and Allied Products Merchant Wholesalers ,322220,Paper Bag and Coated and Treated Paper Manufacturing,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,*,*,LILYD - S&P,,0
Avnet Inc,,no,yes,,,AVT,Businesswire,https://www.businesswire.com/news/home/20210527005250/en/,https://www.avnet.com/wps/portal/us/,https://ir.avnet.com/press-releases,YES,YES,NO,https://ir.avnet.com/financial-information,https://ir.avnet.com/static-files/f32cc5ad-f62e-4832-a5ae-46072015dc18,https://www.avnet.com/wps/portal/us/about-avnet/corporate-social-responsibility/reports/,https://www.avnet.com/wps/wcm/connect/onesite/fe6c020f-1b09-4f4c-b94e-e6c1595479b8/Avnet-FY2019-and-FY2020-Sustainability-Report.pdf?MOD=AJPERES&CVID=nvgvUgT&CVID=nvgvUgT&CVID=nvgvUgT&CVID=nvgvUgT&CVID=nvgvUgT&CVID=nvgvUgT&CVID=nvgvUgT&CVID=nvgvUgT&attachment=false&id=1613594056026,United States,423690,Other Electronic Parts and Equipment Merchant Wholesalers ,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,*,*,*,*,*,*,LILYD - Russell,,0
Axalta Coating Systems,,no,yes,,,AXTA,PRNewswire,https://www.prnewswire.com/news-releases/axalta-to-acquire-u-pol-a-leading-paint-protective-coatings-and-accessories-manufacturer-for-the-automotive-aftermarket-301326858.html,https://www.axalta.com/corporate/en_US.html,https://newsroom.axalta.com/news-releases,YES,YES,NO,http://ir.axalta.com/investors/sec-filings/annual-reports/default.aspx,http://s22.q4cdn.com/144987753/files/doc_financials/2020/ar/AxaltaAnnualShareholderReport2020.pdf,https://www.axalta.com/corporate/en_US/sustainability.html,not available,United States,325510,Paint and Coating Manufacturing,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Axis Capital Holdings,,no,yes,,,AXS,Businesswire,https://www.businesswire.com/news/home/20210707005174/en/,https://www.axiscapital.com/,https://investor.axiscapital.com/news-and-upcoming-events/press-releases/default.aspx,YES,YES,NO,https://investor.axiscapital.com/financial-reports/annual-reports/default.aspx,https://s26.q4cdn.com/454589600/files/doc_financials/2020/ar/FINAL-AXIS-AR-bookmarks-4.1.21.pdf,not available,not available,United States,523930,Investment Advice ,551112,Offices of Other Holding Companies ,*,*,*,*,*,*,LILYD - Russell,,0
Axon Enterprise Inc,,no,yes,,,AAXN,PRNewswire,https://www.prnewswire.com/news-releases/piedmont-healthcare-partners-with-axon-to-provide-de-escalation-tools-to-hospitals-301321835.html,https://www.axon.com/,https://investor.axon.com/press-releases/default.aspx,YES,YES,NO,https://investor.axon.com/annual-reports,https://filecache.investorroom.com/mr5ir_axon/141/AXON-2020-Annual-Report.pdf,not available,not available,United States,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing ",*,*,*,*,*,*,*,*,LILYD - Russell,,0
Baker Hughes Company ,,yes,yes,,,BKR,Businesswire,https://www.businesswire.com/news/home/20210630005205/en/,http://www.bakerhughes.com/,https://investors.bakerhughes.com/press-releases,YES,YES,NO,https://investors.bakerhughes.com/financial-information/annual-reports,https://investors.bakerhughes.com/static-files/2fdec670-b492-4448-8681-9497c4b3c2af,https://www.bakerhughes.com/company/corporate-responsibility,https://www.bakerhughes.com/sites/bakerhughes/files/2021-06/baker-hughes-corporate-responsiblity-report-2020.pdf,United States,333132,Oil and Gas Field Machinery and Equipment Manufacturing ,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",325110,Petrochemical Manufacturing,213112,Support Activities for Oil and Gas Operations ,*,*,LILYD - S&P,,0
Ball Corporation,,yes,yes,,,BLL,PRNewswire,http://www.prnewswire.com/news-releases/ball-corporation-to-present-at-2021-deutsche-bank-global-basic-materials-conference-301304470.html,https://www.ball.com/Home,https://www.ball.com/na/newsroom/news-releases,YES,YES,NO,https://investors.ball.com/financials/annual-reports/default.aspx,https://s1.q4cdn.com/288660599/files/doc_financials/2020/ar/Ball_AR20_Digital.pdf,https://investors.ball.com/sustainability/sustainability-reports/default.aspx,https://s1.q4cdn.com/288660599/files/doc_downloads/goals/Ball-SR20-Web_FINAL.pdf,United States,332431,Metal Can Manufacturing ,*,*,*,*,*,*,*,*,LILYD - S&P,,1
Bank of America Corp,,yes,yes,BlackRock Inc,,BAC,Businesswire,http://www.businesswire.com/news/home/20201209005358/es/,http://www.bankofamerica.com/,https://newsroom.bankofamerica.com/press-releases,YES,YES,NO,https://investor.bankofamerica.com/annual-reports-and-proxy-statements,https://d1io3yog0oux5.cloudfront.net/bankofamerica/files/pages/bankofamerica/db/809/content/BAC_2020_Annual_Report.pdf,https://about.bankofamerica.com/en/making-an-impact/esg-reporting,https://about.bankofamerica.com/content/dam/about/pdfs/ESG_Data-2020.pdf,United States,522110,Commercial Banking ,424210,Drugs and Druggists' Sundries Merchant Wholesalers ,522210,Credit Card Issuing ,523110,Investment Banking and Securities Dealing ,523920,Portfolio Management ,,,0
Bank Of Hawaii Corp,,no,yes,,,BOH,Businesswire,https://www.businesswire.com/news/home/20210706005803/en/,https://www.boh.com/,https://ir.boh.com/news-releases,YES,YES,NO,https://ir.boh.com/financial-information/annual-reports,https://ir.boh.com/static-files/df104e55-4603-41cd-9cd3-dd646f6396e2,https://www.boh.com/community/esg-report-2020,https://www.boh.com/siteassets/files/community/2020-esg-report.pdf,United States,522110,Commercial Banking ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
Bank Ozk,,no,yes,,,OZK,Globenewswire,https://ir.ozk.com/other/email-notification/default.aspx ,https://www.ozk.com/personal/,https://ir.ozk.com/news/press-releases/,YES,YES,NO,https://ir.ozk.com/filings/annual-reports,https://ir.ozk.com/static-files/f6543b09-c7b9-4daa-9284-13f2a3dd4c6d,https://ir.ozk.com/esg,https://ir.ozk.com/static-files/775d3630-d331-42a3-85fa-ecd21e184613,United States,522110,Commercial Banking ,*,*,*,*,*,*,*,*,LILYD - Russell,,0
BASF SE,,no,no,Booking Holdings,,BAS,PRNewswire,https://www.prnewswire.com/news-releases/basf-presenta-teenon-f1-su-primera-variedad-con-resistencia-intermedia-a-virus-rugoso-del-tomate-tobrfv-en-mexico-890488072.html,http://www.basf.com/,https://www.basf.com/us/en/media/news-releases.html#%7B%7D,YES,YES,NO,https://report.basf.com/2020/en/,https://report.basf.com/2020/en/servicepages/downloads/files/basf-report-2020-basf-ar20.pdf,https://report.basf.com/2020/en/,https://report.basf.com/2020/en/servicepages/downloads/files/basf-report-2020-basf-ar20.pdf,Germany,325180,Other Basic Inorganic Chemical Manufacturing ,445110,Supermarkets and Other Grocery (except Convenience) Stores ,452210,Department Stores ,452210,Department Stores ,452311,Warehouse Clubs and Supercenters ,,,0
Baxter International Inc.,,yes,yes,,,BAX,Businesswire,https://www.businesswire.com/news/home/20210615006137/en/Baxter-to-Host-Second-Quarter-2021-Financial-Results-Conference-Call-for-Investors,https://www.baxter.com/,https://www.baxter.com/baxter-newsroom,YES,YES,NO,https://investor.baxter.com/investors/annual-reports-and-proxy/default.aspx,https://s22.q4cdn.com/911189824/files/doc_financials/2020/ar/938b4abc-cc88-48af-83ef-8b67633f01af.pdf,https://www.baxter.com/our-story/corporate-responsibility/our-corporate-responsibility-commitment-and-report-0,https://s22.q4cdn.com/911189824/files/doc_financials/2020/ar/Baxter_2020_Corporate_Responsibility_Report.pdf,United States,325414,Biological Product (except Diagnostic) Manufacturing ,325411,Medicinal and Botanical Manufacturing ,325412,Pharmaceutical Preparation Manufacturing ,325414,Biological Product (except Diagnostic) Manufacturing ,339112,Surgical and Medical Instrument Manufacturing ,LILYD - S&P,,0
Bayer AG,,no,no,BP,,BAYN,PRNewswire,https://www.prnewswire.com/news-releases/bayer-celebrates-4-h-stem-challenge-by-supplying-1-100-mars-base-camp-kits-to-students-across-the-country-301146344.html,https://www.bayer.com/,https://media.bayer.com/baynews/baynews.nsf/id/news-overview-category-search-en?opendocument#/search,NO,NO,NO,https://www.bayer.com/en/media/integrated-annual-reports,https://www.bayer.com/sites/default/files/2021-02/Bayer-Annual-Report-2020.pdf,https://www.bayer.com/en/media/sustainability-reports,https://www.bayer.com/sites/default/files/2021-02/Bayer-Sustainability-Report-2020.pdf,Germany,541714,Research and Development in Biotechnology (except Nanobiotechnology),*,*,*,*,*,*,*,*,,,0
Becton Dickinson and Company,,yes,yes,,,BDX,PRNewswire,https://www.prnewswire.com/news-releases/usa-swimming-partners-with-bd-to-provide-covid-19-screening-for-the-olympic-trials-and-other-competitive-swimming-events-301310587.html,https://www.bd.com/en-us,https://investors.bd.com/news-releases,YES,YES,NO,https://investors.bd.com/financial-information/annual-reports,https://investors.bd.com/static-files/3c4280f7-ff84-4137-8e5d-0e7c9db5acbd,https://investors.bd.com/esg/sustainability,https://investors.bd.com/static-files/90887383-6f4e-4291-8d82-a405a209cd96,United States,339112,Surgical and Medical Instrument Manufacturing ,*,*,*,*,*,*,*,*,LILYD - S&P,,0
Berkshire Hathaway,,yes,yes,Bristol-Myers Squibb,,BRK-B,PRNewswire,https://www.prnewswire.com/news-releases/berkshire-hathaway-homeservices-premier-properties-expands-footprint-on-its-30th-anniversary-of-helping-texans-find-their-forever-homes-301160896.html,http://www.berkshirehathaway.com/,https://www.berkshirehathaway.com/news/2020news.html,NO,NO,NO,https://www.berkshirehathaway.com/reports.html,https://www.berkshirehathaway.com/2020ar/2020ar.pdf,https://www.berkshirehathaway.com/sustainability/sustainability.html,not available,United States,524126,Direct Property and Casualty Insurance Carriers ,524130,Reinsurance Carriers ,*,*,*,*,*,*,,,0
